Gene,Count
NM_001031732,17
NM_001330698,17
NM_133370,17
NR_148357,2
NR_046018,2
NR_051986,2
NR_149138,5
NR_110795,5
NR_149137,5
NR_024540,4
NR_168395,15
NM_182905,4
NM_001378090,4
NR_132315,8
NM_001509,2
NR_002940,12
NM_001291700,11
NM_014219,4
NR_027278,9
NR_132320,4
NR_026822,4
NR_026820,4
NR_026818,4
NM_001191006,6
NM_001300936,6
NR_034035,6
NM_001191005,6
NM_001191007,6
NM_054016,6
NM_001300937,6
NM_001191009,6
NM_006625,6
NR_104420,3
NM_001077710,1
NR_144628,5
NM_001242480,5
NM_001347681,5
NM_001347682,5
NM_001347680,5
NM_001322044,5
NM_001322036,5
NM_001322047,5
NM_001322975,5
NR_037872,5
NR_037871,5
NM_003428,5
NM_001289972,5
NM_001289971,5
NM_001127372,5
NM_001286052,4
NM_001286053,4
NM_001286054,4
NR_110527,4
NM_182524,4
NM_001039127,4
NM_001289931,4
NR_038377,4
NR_046441,4
NR_046440,4
NR_046439,4
NM_001368253,4
NM_001080772,4
NM_002255,4
NM_001080770,4
NR_033856,4
NR_027436,4
NM_052923,3
NR_033266,2
NR_046442,1
NM_001329616,3
NR_045117,1
NM_001190411,1
NM_001190412,1
NM_001190413,1
NM_006987,1
NR_073064,3
NM_018303,3
NR_134630,7
NR_134629,6
NM_001303100,3
NM_001256876,3
NM_001354331,3
NM_001354334,3
NM_001354333,3
NM_001256877,3
NM_001354332,3
NM_015158,3
NM_014974,3
NM_001370401,3
NM_014700,3
NM_001142272,3
NM_001128159,3
NM_001366253,3
NM_018289,3
NM_001366254,3
NM_006883,3
NM_001362796,1
NM_173593,1
NR_047524,2
NR_047519,2
NR_047523,2
NR_047521,2
NR_047526,1
NR_047525,2
NR_110118,5
NM_006315,1
NM_001317836,1
NR_147095,1
NR_147096,1
NM_001351303,1
NM_001164758,1
NM_001164759,1
NM_001164760,1
NM_001346810,33
NR_073397,14
NM_006755,1
NM_016533,1
NM_022463,5
NM_001205319,1
NM_001203252,7
NM_001123067,7
NM_016835,7
NM_005910,7
NM_001123066,7
NM_001377265,7
NM_001203251,7
NM_016834,7
NR_165166,7
NM_001377266,7
NM_016841,7
NM_001377268,7
NM_001377267,7
NM_005433,2
NM_173481,1
NR_135168,1
NR_033880,4
NR_111963,4
NM_006651,1
NM_030946,1
NR_075098,2
NM_017802,2
NM_001191061,1
NM_001191060,1
NM_024698,1
NM_001304799,1
NM_022493,1
NM_001007532,1
NM_024786,1
NM_020376,1
NM_001289145,1
NM_001289146,1
NM_001042353,1
NM_207121,1
NM_001289147,1
NR_026874,1
NR_122045,1
NM_005255,7
NM_001318134,7
NM_030876,2
NM_021951,8
NM_001363767,8
NM_001351277,8
NM_001025239,2
NM_001025238,2
NM_003271,2
NM_001025236,2
NM_001025235,2
NM_001025234,2
NM_001025237,2
NM_001972,2
NM_015985,2
NM_001322809,2
NM_001171946,1
NM_198317,2
NR_110179,2
NM_004237,3
NM_001166260,2
NM_001319053,11
NM_021904,11
NM_001470,11
NM_001367669,3
NM_001367670,3
NM_001367692,3
NM_001367690,3
NM_001367655,3
NM_001171944,3
NM_001367694,3
NM_001367702,3
NM_001367649,3
NM_001367641,3
NM_001367666,3
NM_001367662,3
NM_001367700,3
NM_001367639,3
NM_001367677,3
NM_001367640,3
NM_001367686,3
NM_001367685,3
NM_001367634,3
NM_001367682,3
NM_025154,3
NM_001367680,3
NM_001367698,3
NM_001367636,3
NM_001367693,3
NM_001367703,3
NM_001367665,3
NM_001367683,3
NM_001367668,3
NM_001367697,3
NM_001367688,3
NM_001367696,3
NM_001367681,3
NM_001367648,3
NM_001367695,3
NM_001367678,3
NM_001367676,3
NM_001367667,3
NR_160283,3
NM_001367671,3
NM_001367647,3
NM_001367644,3
NM_001367705,3
NM_001367642,3
NM_001367664,3
NM_001367645,3
NM_001367646,3
NM_001367643,3
NM_001367679,3
NM_001367706,3
NR_160281,3
NM_001367699,3
NR_160282,3
NM_001367675,3
